id1,id,SL,week,year,state,city,disctrict,cases,death,st_date,end_date,description,location,lat,lon
1,858,858,12,2017,Andhra Pradesh,Chitoor,Chittoor,63,0,03-04-2017 00:00,,"Cases   reported   from   Village   Thimmasamudram,    SC Ragigunta,  PHC  Kovanur,  Block  Mandal.  District  RRT investigated the outbreak. House to house survey done. out of 23 Blood Samples tested at SV Medical College, Tirupati,
16 Samples found positive for Dengue by ELISA. All cases treated symptomatically. Health education given.","   Thimmasamudram,    SC Ragigunta,  PHC  Kovanur,  Block  Mandal",13.6609466,79.74759
2,350,350,35,2011,Andhra Pradesh,Krishna,Krishna,45,0,31-08-2011 00:00,31-08-2011 00:00,"Cases of fever and joint pain reported from Sub centre Madicherla, PHC Bapulapadu, CHC Gannavaram. District RRT investigated the outbreak. Blood  smears  were  negative  for  malaria  parasite.  Serum  samples  were positive for  Dengue (Ig M ELISA). House  to house fever  survey  done and  all  cases  treated.  Medical  camp  was  organized  in  the village.  Anti larval  activities  and  fogging  done  with  Malathion  and  indoor  residual spraying  done in  the  affected  area.  IEC  activities  undertaken  regarding mosquito control measures and personal protection measures.","Madicherla,  Bapulapadu",16.7339554,80.9829631
3,375,375,35,2011,Andhra Pradesh,Krishna,Krishna,30,0,07-09-2011 00:00,,"Cases with symptoms of fever, body ache reported from Village Pedapativarigudem, PHC Musunuru. District RRT investigated the outbreak.   Sera samples tested positive for Dengue by Rapid Diagnostic Test.  Cases treated  in District  Hospital  Nuzvid  and  GGH Vijayawada.  House to house survey done. Fogging  with  malathion,  indoor  residual  spraying  and  anti-larval  measures  done.  Health  education
given regarding personal protection measures.",Pedapativarigudem,16.8070666,80.976401
4,272,272,29,2015,Andhra Pradesh,Krishna,Krishna,140,0,15-07-2015 00:00,20-07-2015 00:00,"Cases  reported  from,  Village/PHC  Photlavalluru,  CHC  Kankitadu.  District RRT investigated the outbreak.  140 blood samples were collected and sent to Microbiology    Department,    Siddhartha    Medical    College,Vijayawada;9 samples  tested  positive  for  Dengue  by  IgM  ELISA,  no  samples  tested positive  for  malaria.  All  cases  treated  symptomatically.  Health  education
given.","Photlavalluru,Kankitadu",16.3468095,80.783514
5,939,939,21,2018,Andhra Pradesh,Krishna,Krishna,35,0,22-05-2018 00:00,22-05-2018 00:00,"Cases  reported  from  Village  Somavaram,  PHC Gollamudi.    District    RRT    investigated    the outbreak. House to house survey done. Out of 35 blood   samples   collected   and   tested   at   GGH, Vijayawada  for  Dengue  and  Malaria,  1  sample was  positive  for  Dengue  by  IgM  ELISA.  All cases  treated  symptomatically.  Source  reduction activities undertaken. Health education given.","  Somavaram,  PHC Gollamudi",16.785997,80.3546437
6,439,439,38,2011,Andhra Pradesh,Mahabubnagar,Mahbubnagar,72,0,16-09-2011 00:00,16-09-2011 00:00,"Cases  with  high  fever  and  body  pains  reported  from  Village  Penchikalpadu,
Subcenter Sugur, PHC Pebbair (40 cases) and from Village Arepally, Subcenter Rechinthala, Athmakur (32 cases). 4 out of 9 sera samples from PHC Pebbair and 4 out of 10 sera samples from PHC Athmakur tested positive for Dengue. Aedes mosquito breeding seen in water containers. Medical camp conducted. Anti-larval operations done, pyrethrum sprayed and fogging done. Paramedical staff deputed
to  the  affected  area  for  active  surveillance.  IEC  activities  undertaken  regarding early treatment of cases and personal protection measures.", Penchikalpadu,16.1183902,77.965299
7,613,613,43,2011,Andhra Pradesh,Mahabubnagar,Mahbubnagar,12,0,20-10-2011 00:00,22-10-2011 00:00,"Cases of fever with joint pain reported from Village Rechinthala,
PHC Thippadamapally.  District RRT visited the affected area and investigated  the  outbreak.  Out  of  9  serum  samples  collected,  2 were   positive   for   Dengue   IgM   ELISA.   Rapid   fever   survey, entomological  surveillance,  and  fogging  activities  undertaken  in and   around   the   affected   village.   IEC   activities   undertaken
regarding personal protection measures and mosquito control."," Rechinthala,PHC Thippadamapally",16.296827,77.877789
8,314,314,33,2011,Andhra Pradesh,Mahbubnagar,Mahbubnagar,42,0,15-08-2011 00:00,18-08-2011 00:00,"Cases  with  fever  and  bodyache  reported  from  Village  Chedurubavi Thanda, Sub Center Ainole, PHC Siddapur, Block Achchampet. District RRT visited  the affected  area and investigated  the  outbreak.  Out  of 27 sera  samples  of  fever  cases  tested,  5  were  positive  for  Dengue  Ig  M ELISA. House to house survey done to find new fever cases. Pyrethrum sprayed  and  fogging  done.  Cases  treated  symptomatically.  Anti-larval activities undertaken. IEC activities undertaken regarding early treatment of cases and personal protection measures.", Chedurubavi Thanda,16.4300718,78.7426613
9,90,90,17,2012,Andhra Pradesh,Mahabubnagar,Mahbubnagar,24,0,24-04-2012 00:00,29-04-2012 00:00,"Outbreak     reported     from     Village     Kothakunta     Thanda,     SC Dodiguntapally, PHC Peddamandadi, District  Mahabubnagar. District RRT investigated  the  outbreak.  House  to  house  survey  done  to  find new fever cases. Out of 7 serum samples, 3 were positive for Dengue (IgM ELISA).  The entire community had the practice of storing water. Aedes mosquito breeding found in 13 sources in 32 houses. Antilarval measures,  Pyrethrum  Spray,  Fogging  undertaken.  Health  education
done by distributing IEC material and organizing medical camps.","Kothakunta ,Dodiguntapally",16.4452681,78.053068
10,118,118,21,2012,Andhra Pradesh,Mahabubnagar,Mahbubnagar,57,0,23-05-2012 00:00,27-05-2012 00:00,"Outbreak reported  from Village/SC  B.K.Laxmapur,  PHC  Padara, Block     Amrabad,     District     Mahabubnagar.     Medical     team investigated the outbreak.  Practice of water storing was observed in the community. Out  of 74 houses, 45 houses were positive for Aedes breeding sites.   Out of 18 serum samples collected 14 were positive   for   Dengue   (IgM   ELISA).   Anti   larval   Operations,
Pyrethrum  spray  done  in  the  affected  area.  Temporary  medical camps organized for treating cases. Health education given.","B.K.Laxmapur,Padara",17.3458892,78.5525606
11,136,136,19,2012,Andhra Pradesh,Mahabubnagar,Mahbubnagar,32,0,06-05-2012 00:00,,"Outbreak  reported  from  Villages  Shankarakonda  Thanda,  Chowderpally,  Sc
Cherkur,  PHC Veldanda,  District  Mahabubnagar.  Water storage activity was prominent  in  the  affected  villages.   Entomological  survey  revealed  breeding sites of Aedes in the affected  villages.   Out  of 6  serum samples collected  3 were  positive  for  Dengue.    Out  of  22  blood  slides  examined  none  were positive  for  malaria  parasite.  Anti  larval  activities  and  fogging  done  in  the affected  villages.    Health  education  given.  IEC  material  distributed  in  the affected area.","Shankarakonda  Thanda,  Chowderpally",16.6498717,77.8848217
12,248,248,28,2012,Andhra Pradesh,Mahabubnagar,Mahbubnagar,35,0,11-07-2012 00:00,15-07-2012 00:00,"Outbreak reported from Village Konapur, SC Rangapur, PHC & Block Vangoor, District Mahabubnagar. 35 blood smears were found negative for malaria parasite. Out of 14 samples  collected,  3  were  positive  for  Dengue  (Ig  M ELISA).  Anti-larval operations and pyrethrum spray done in  the  affected  area.  Medical  camps  established.  Health education    given.    IEC    material    distributed    in    the
community.","Konapur, Rangapur",17.1233968,78.1778185
13,264,264,29,2012,Andhra Pradesh,Mahabubnagar,Mahbubnagar,71,0,16-07-2012 00:00,22-07-2012 00:00,"Outbreak      reported       from      Villages      Singaram, Peddathanda,   SC   Chandapur,   PHC   Siddapur,   Block Achampet,       District   Mahabubnagar.   Medical   team investigated  the  outbreak.  Aedes  breeding  seen  in  the affected  areas.  53  blood  smears  were  collected  and  all were  found  negative  for  Malaria  parasite.  Out  of  17 serum samples collected 3 were positive for Dengue and
1   positive   for   Chikungunya.   Anti   larval   operations, pyrethrum  spray  and  fogging  done.    Health  Education given and IEC material distributed.","Singaram, Peddathanda",16.4881028,78.7426613
14,351,351,35,2012,Andhra Pradesh,Mahabubnagar,Mahbubnagar,50,0,25-08-2012 00:00,02-09-2012 00:00,"Outbreak reported from Village & SC Raikal, PHC Burugula,               Block     Farooqnagar,     District Mahabubnagar.    Medical    team   investigated    the outbreak.  Temporary  medical  camps  organized  in the   village.   Entomological  survey  revealed  high vector indices. 66 sources (containers) were positive for   Aedes   larva   in   311   houses.      Majority   of population  are daily laborers who migrate to  cities and  towns.  39  blood  smears  collected  and  tested negative  for   malaria   parasite.   Out  of  11  serum samples   collected,   3   samples   were   positive   for Dengue    and    3    samples    were    positive    for Chikungunya (IgM ELISA).  Anti larval  operations, Pyrethrum    spray    and    fogging    done    in    the community.   Health education given.","Raikal, Burugula",16.9984314,78.1929807
15,377,377,36,2012,Andhra Pradesh,Mahabubnagar,Mahbubnagar,23,0,05-09-2012 00:00,09-09-2012 00:00,"Outbreak    reported     from     Village    Akunellikuduru,     SC Guntakodur,  PHC  &  Block  Tadoor,  District  Mahabubnagar. Due to scarcity of water  the community had adopted practice of  storing  water.   Medical  team  investigated  the  outbreak. Temporary medical  camps  established.  Entomological  survey revealed  high  vector  indices.  53  sources  (containers)  were positive for Aedes larva in 187 houses.  Majority of population are  daily laborers  who  migrate  to  cities  and  towns.  19  blood smears collected and tested negative for  malaria parasite. Out of  9  serum  samples  collected,  5  samples  were  positive  for
Dengue (IgM ELISA). Anti larval operations, Pyrethrum spray and fogging done in the community.   Health education given.","Akunellikuduru,Guntakodur",16.5669913,78.4105275
