id1,id,SL,week,year,state,city,disctrict,cases,death,st_date,end_date,description,location,lat,lon
1,449,449,37,2012,Arunachal Pradesh,East Kameng,East Kameng,31,1,03-09-2012 00:00,,Outbreak of fever reported from all blocks of East Kameng District.  District RRT investigated the outbreak. Medical camp organised. All cases treated. Out of 10 serum samples collected 1 serum sample was positive for Dengue ( NS1 and IgM ELISA).  IEC on Dengue imparted., East Kameng,27.4231261,93.0175712
2,229,229,25,2015,Arunachal Pradesh,East Siang,East Siang,68,0,08-06-2015 00:00,,"Cases  of  fever  with  joint  pain  reported  from  Pasighat  township,  District  East Siang.  District  RRT  investigated  the  outbreak.  House  to  house  fever  survey done.13 Serum samples tested at DPL, Pasighat were found to be positive by NS1
antigen   test.   All   cases   treated   symptomatically.   Source   reduction   activities undertaken. Health education regarding personal protection given.","Pasighat  township,  District  East Siang",28.0631741,95.3239197
3,284,284,29,2015,Arunachal Pradesh,East Siang,East Siang,473,0,04-06-2015 00:00,,"68 cases of fever with joint pain reported in 26th week ending on 28th June 2015, further 405 more cases reported in 30th week ending on 26th July2015 from Pasighat Township. District RRT  investigated  the  outbreak.  House  to  house  fever  survey  done.  Out  of  621  serum samples tested  at DPL Pasighat, 242 samples  were  found  to be  positive  for  dengue  NS1 Antigen  capture  ELISA  test,  and  7  samples  were  found  equivocal  All  cases  treated
symptomatically.   Source   reduction   activities   undertaken.   Health   education   regarding personal protection given.", Pasighat,28.0631741,95.3239197
4,296,296,30,2015,Arunachal Pradesh,East Siang,East Siang,690,0,04-06-2015 00:00,,"473 cases reported till 30th week ending on 26th July2015,further 217 more cases reported in 31st week ending on 02nd August 2015 from Pasighat Township. District RRT investigated the outbreak.  House  to  house  fever  survey  done.  Out  of  2108  serum  samples  tested  at  DPL Pasighat, 690 samples were found to be positive for dengue NS1 Antigen capture ELISA test, and  24  samples  were  found  equivocal  All  cases treated symptomatically.  Source  reduction
activities undertaken. Health education regarding personal protection given.",Pasighat Township,28.0631741,95.3239197
5,310,310,31,2015,Arunachal Pradesh,East Siang,East Siang,982,0,04-06-2015 00:00,,"690  cases  reported  till  31st  week  ending  on  02nd  August  2015;  further  292  more  cases reported in 32nd  week ending on 09th August 2015 from Pasighat Township. District RRT investigated the  outbreak.  House to house fever survey done.  Out  of  2875 serum samples tested  at  DPL Pasighat,  982  samples  were  found  to  be  positive  for  dengue  NS1  Antigen capture   ELISA   test,   and   25   samples   were   found   equivocal.      All   cases   treated symptomatically.   Source   reduction   activities   undertaken.   Health   education   regarding
personal protection given.",Pasighat Township,28.0631741,95.3239197
6,397,397,35,2015,Arunachal Pradesh,East Siang,East Siang,1646,1,04-06-2015 00:00,,"1646  cases  and  01  death  were  reported  till  36th  week  ending  on  06th  September 2015  from Pasighat  Township.  District  RRT investigated  the outbreak.  House to house fever survey done. 4693 serum samples tested at DPL Pasighat, 1646samples were  found  to  be  positive  for  dengue  NS1  Antigen  capture  ELISA  test,  and  51 samples were found equivocal.All cases treated symptomatically. Source reduction
activities undertaken. Health education regarding personal protection given.",Pasighat  Township,28.0631741,95.3239197
7,433,433,36,2015,Arunachal Pradesh,East Siang,East Siang,1715,1,04-06-2015 00:00,,"1715 cases and 01 death were reported till 37th  week ending on 13th  September 2015 from Pasighat Township. District RRT investigated the outbreak. House to house   fever   survey   done.   4693   serum   samples   tested   at   DPL   Pasighat, 1646samples were found to be positive for dengue NS1 Antigen capture ELISA test,  and  51  samples were  found equivocal.  All  cases treated  symptomatically. Source  reduction  activities  undertaken.  Health  education  regarding  personal protection given.1715 nos found positive and ‘52’ Equivocal out of ‘4950’ nos of
serum samples tested for NS1/IgM ELISA at DPL-IDSP Pasighat.",Pasighat Township,28.0631741,95.3239197
8,464,464,37,2015,Arunachal Pradesh,East Siang,East Siang,1752,1,04-06-2015 00:00,,"1752 cases and 01 death were reported till 38th  week ending on 20th  September 2015 from Pasighat Township. District RRT investigated the outbreak. House to house fever survey done.  All  cases  treated  symptomatically.  Source reduction
activities undertaken. Health education regarding personal protection given.",Pasighat Township,28.0631741,95.3239197
9,503,503,38,2015,Arunachal Pradesh,East Siang,East Siang,1770,1,04-06-2015 00:00,,"1770 cases and 01 death were reported till 39th  week ending on 27th  September
2015 from Pasighat Township. District RRT investigated the outbreak. House to house   fever   survey   done.   5430   serum  samples   tested   at   DPL  Pasighat, 1770samples were found to be positive for dengue NS1 Antigen capture ELISA test, and 54 samples were found equivocal. All cases treated symptomatically. Source  reduction  activities  undertaken.  Health  education  regarding  personal
protection given.",Pasighat,28.0631741,95.3239197
10,529,529,39,2015,Arunachal Pradesh,East Siang,East Siang,1793,1,04-06-2015 00:00,,"Cases  reported   from  Pasighat,   District  East  Siang.  RRT  investigated   the outbreak. House to house fever survey done. 1793 blood samples found positive and ‘55’ Equivocal out of ‘5651’ samples tested for NS1/IgM ELISA at DPL- IDSP Pasighat as on 01.10.15.","Pasighat,   District  East  Siang",28.1097051,95.1432068
