id1,id,SL,week,year,state,city,disctrict,cases,death,st_date,end_date,description,location,lat,lon
1,1,1,42,2010,Assam,Dibrugarh,Dibrugarh,3,0,22-09-2010 00:00,,"Cases  reported  from  Dibrugarh  Urban  area,  Khalihamari,  Jiban  Phukan  Nagar,  Milan Nagar West Village. All cases had history of visit to Delhi in recent past. All samples were positive for Dengue IgM Ab sera samples have been sent to RMRC, Diburgarh for IgM  ELISA  test  for  Dengue  confirmation;  result  awaited.  District  RRT  visited  the affected area. Fogging activities done in the affected areas. Active search for fever cases
being done in the affected areas. IEC activities undertaken.",Dibrugarh,27.4728327,94.9119621
2,2,2,46,2010,Assam,sonitpur,Sonitpur,9,0,26-10-2010 00:00,,"Outbreak of fever reported from villages Gutlong and Bapubheti, Balipara BPHC SC Solmara, Haleswar NPHC; villages Goroimari and Bihaguri BPHC; SC Gutlong, Baruadoloni. Out of 9 sera samples collected at Baptist Christian Hospital, Tezpur and sent to RMRC, Dibrugarh for lab  test,  3  samples  tested  positive  for  Dengue.  One  patient  died  due  to  Dengue  Shock Syndrome.  Entomological  surveillance  done  by  house  to  house  visit.  Fogging  and  source reduction  measures  undertaken  in  the  affected  villages.  IEC  activities  undertaken  regarding early treatment of cases and personal protection measures.","Gutlong and Bapubheti, Balipara , Solmara",26.8249388,92.7747298
3,3,3,45,2012,Assam,Bongaigaon,Bongaigaon,27,1,10-10-2012 00:00,,"Outbreak  reported  from  Urban  areas  of  Bongaigaon  city,  District  Bongaigaon. District RRT investigated the outbreak. Active search for fever cases done. Cases treated at Civil Hospital Bongaigaon. From 10th October to 20th November 2012, Out of 14 serum sample tested at GMCH Bonagigaon, 9 samples were positive for Dengue  (IgM  ELISA).  Further  13  serum  samples  collected;  result  awaited. Control  measures  undertaken  in  the  affected  area.  IEC  done  by  distribution  of
pamphlets.",Bongaigaon,26.5030072,90.5535724
4,4,4,47,2012,Assam,Dhemaji,Dhemaji,11,0,22-10-2012 00:00,,"Cases  of  fever  reported  from  Village  &  SC  Goganukh,  PHC  Sissiborgaon, District Dhemaji. District RRT investigated the outbreak. Active search for cases done.  Cases treated at local health centre. 2 serum samples collected and sent to AMCH Dibrugarh which tested positive for Dengue (IgM ELISA). Fogging done
in the affected area.","Goganukh,  PHC  Sissiborgaon",27.5746761,94.6887726
5,5,5,43,2012,Assam,Sonitpur,Sonitpur,30,0,13-10-2012 00:00,,"Outbreak  reported  from  PHC’s  Balipara,  Rangapara  and  Bihaguri,  District Sonitpur. District RRT investigated the outbreak. Active search for fever cases done. Out of 30 serum samples collected 7 samples were positive for Dengue (NS1 Antigen). Control measures undertaken. IEC done.","Balipara,  Rangapara  and  Bihaguri,  District Sonitpur",26.7034421,92.7048195
6,6,6,47,2012,Assam,Sonitpur,Sonitpur,224,0,13-10-2012 00:00,,"It  was  mentioned  in  44th  week  (week  ending  4th  November  2012)  30  cases  of fever  were  reported  from  PHC’s  Balipara,  Rangapara  and  Bihaguri,  District Sonitpur  upto 2nd  November  2012.  From  3rd  November  to  4th  December  2012, further 194 cases were reported from all Blocks of District Sonitpur. Out of 224 serum  samples  collected,  15  samples  were  positive  for  Dengue  (IgM  ELISA). Control measures being undertaken.","Balipara,  Rangapara  and  Bihaguri,  District Sonitpur",26.7034421,92.7048195
7,7,7,49,2012,Assam,Sonitpur,Sonitpur,235,0,13-10-2012 00:00,,"In  44th  week  (ending on  4th November  2012)  30  cases of fever  were reported from  PHC’s Balipara,  Rangapara and  Bihaguri,  District  Sonitpur.  Further  205 cases   occurred   in   PHC’s   Dhekiajuli,   Bihaguri,   Balipara,   N.   Jamuguri, B.Chariali  and  Gohapur  till  16th  December  2012.    Out  of  total  235  serum samples collected, 15 samples were positive for Dengue (IgM ELISA). Control measures undertaken. IEC done.","Balipara,   Sonitpur",26.8256582,92.775492
8,8,8,34,2013,Assam,Kamrup ,Kamrup,130,0,26-07-2013 00:00,,"Cases of fever, body ache and headache reported from Hatigarh (East Zone), Lakhiminagar,  Panjabari  (Capital  Zone),  Maligaon  (West  Zone),  Guwahati city, District Kamrup M.   District RRT investigated the outbreak. House to house  fever  survey  done.  Cases  treated  at  GMCH  and  other  hospitals  in Guwahati.   Out   of  327   serum   samples   collected   and  tested   at   GMCH Guwahati,  130  samples  were  positive  for  Dengue  (IgM  ELISA).  Fogging
done in the affected areas. IEC activities undertaken.","Hatigarh (East Zone), Lakhiminagar",26.1389692,91.7824835
9,9,9,40,2015,Assam,Dhemaji,Dhemaji,11,0,24-09-2015 00:00,,"Cases  reported  from  Village  Gandhi  Nagar,SC/PHC  Silapathar   Ward  No  2, BPHC  Sissiborgaon.  District  RRT investigated  the  outbreak.  House  to  house survey done.  06 Serum samples tested at AMCH,  Dibrugarh were found to be positive  for   Dengue.   All  cases  treated  symptomatically.   Source  reduction
activities were undertaken. Health education given."," Gandhi  Nagar,SC/PHC  Silapathar",27.5876045,94.7193131
10,10,10,41,2015,Assam,Dhemaji,Dhemaji,11,0,24-09-2015 00:00,,"Cases  reported  from Village Jonali  Nagar,  Amritpur,  PHC  Silapathar  MPHC, BPHC  Sissiborgaon.  District  RRT investigated  the  outbreak.  House  to  house survey done. 06 out of 11 serum samples tested at AMCH, Dibrugarh were found to be positive for Dengue. All cases treated symptomatically. Source reduction
activities undertaken. Health education given.","Jonali  Nagar,  Amritpur,  PHC  Silapathar",27.6004173,94.7282382
