id1,id,SL,week,year,state,city,disctrict,cases,death,st_date,end_date,description,location,lat,lon
1,1469,1469,44,2019,Bihar,Arwal,Arwal,5,0,15-10-2019 00:00,,"Cases reported form Villages Kurtha, Arwal, Kaler, Chakiya, Makhdumpur,  Karpi,  Bajipur.  District  RRT  investigated  the outbreak. State and District NVBDCP officials were informed. House to house survey done. All 05 serum samples collected and sent to Patna PMCH lab; were positive for Dengue (IgM ELISA).  All  cases  treated  symptomatically.  Entomological survey  done.  Fogging  activity  carried  out  in  affected  area.
Source reduction activities undertaken. Health education given.","s Kurtha, Arwal, Kaler, Chakiya, Makhdumpur,  Karpi,  Bajipur",25.1226904,84.7954674
2,532,532,39,2015,Bihar,Bihar,Aurangabad,724,2,30-06-2015 00:00,,"724 Cases and 02 deaths reported till 40th  week from all Districts. Majority of cases reported from Patna, Bhagalpur, Bhojpur, Aurangabad, and Gaya. State and district RRT investigated the outbreak. House to house fever survey done. High vector breeding indices were observed during entomological survey conducted in Patna (HI 75%, CI 80%,  and BI 160%).The index case was reported on 30 June  2015  from  Patna  district.  All  cases  treated  symptomatically.  Source
reduction activities undertaken. Health education given.",Aurangabad,19.8761653,75.3433139
3,1464,1464,44,2019,Bihar,Rohtas,Rohtas,3,1,27-10-2019 00:00,31-10-2019 00:00,"Cases  reported  from  Village  Panchpokhari,  SC Kurda, PHC Kudra. District RRT investigated the outbreak.  State  and  District  NVBDCP  officials were informed. House to house survey done. All 3 serum samples collected were positive for Dengue (IgM ELISA). All cases treated symptomatically. Fogging   activity   carried   out   in   affected   area. Source   reduction   activities   undertaken.   Health
education given.","  Panchpokhari,  SC Kurda, PHC Kudra",25.0395672,83.6077377
4,395,395,35,2015,Bihar,Bihar,Bhagalpur,96,0,30-06-2015 00:00,,"Cases   reported   from   all   Districts.   Majority   of   cases   reported   from   Patna, Bhagalpur,  Bhojpur, Aurangabad, and Gaya. State and district  RRT investigated the  outbreak.  House  to  house  fever  survey  done.  High  vector  breeding  indices were observed during entomological survey conducted in Patna (HI 75%, CI 80%, and BI 160%).The index case was reported on 30 June 2015 from Patna district.
96  blood  samples  tested  positive  for  Dengue.(76%  of  the  patients  were  IgM ELISA  positive,  1% were NS1  ELISA  positive and 23  % were rapid  NS1/IgM/ IgG   positive).All   cases   treated   symptomatically.   Source   reduction   activities
undertaken. Health education given."," Patna, Bhagalpur",25.5940947,85.1375645
5,574,574,40,2015,Bihar,Bihar,Bhagalpur,906,0,30-06-2015 00:00,,"906 Cases reported till 41st  week from all Districts. Majority of cases reported from Patna, Bhagalpur,Bhojpur,Aurangabad, and Gaya. State and district RRT investigated  the  outbreak.  House  to  house  fever  survey  done.  High  vector breeding  indices  were  observed  during  entomological  survey  conducted  in Patna(HI 75%, CI 80%, and BI 160%).The index case was reported on 30 June 2015 from Patna district.. All cases treated symptomatically.  Source reduction
activities undertaken. Health education given.",Bhagalpur,25.242453,86.9842256
6,507,507,38,2015,Bihar,Bihar,Bhojpur,521,1,30-06-2015 00:00,,"Cases  reported  from  all  Districts.  Majority  of  cases  reported  from  Patna, Bhagalpur, Bhojpur, Aurangabad, and Gaya. State and district RRT investigated the outbreak. House to house fever survey done.  High  vector breeding indices were  observed  during  entomological  survey  conducted  in  Patna  (HI 75%,  CI 80%, and BI 160%).The index case was reported on 30 June 2015 from Patna district. One 31 year old male from District Bhagalpur died due to the condition. All cases treated symptomatically. Source reduction activities undertaken. Health
education given.",Bhojpur,25.466155,84.5222189
7,707,707,46,2012,Bihar,Bhojpur,Bhojpur,36,0,29-10-2012 00:00,,"Outbreak reported from Urban areas of Bhojpur city, District Bhojpur.  District RRT investigated the outbreak. Active search for fever cases done. Cases treated at Sadar Hospital Bhojpur. Out of 36 serum samples collected, 10 samples were positive for Dengue (NS1 Antigen). Fogging done in the affected area. IEC done."," Bhojpur city, District Bhojpur",25.466155,84.5222189
8,467,467,37,2015,Bihar,Bihar,Gaya,371,1,30-06-2015 00:00,,"Cases  reported  from  all  Districts.  Majority  of  cases  reported  from  Patna, Bhagalpur, Bhojpur, Aurangabad, and Gaya. State and district RRT investigated the outbreak. House to house fever survey done.  High  vector breeding indices were observed during entomological survey conducted in Patna(HI 75%, CI 80%, and BI 160%).The index case was reported on 30 June 2015 from Patna district. 96 blood samples tested positive for Dengue. All cases treated symptomatically. Source reduction activities undertaken. Health education given31 year old male
from District Bhagalpur died due to the condition",Gaya,24.7913957,85.0002336
9,719,719,46,2015,Bihar,Bihar,Gopalganj,7,0,05-09-2015 00:00,,"Cases  reported   from   Villages   Barauli   Bhore,   Gopalganj,   Hathua  Kateya, Kuchaikote, Sidhwalia Thawe, Uchkagaon, Phulwaria & Manjha. District RRT investigated  the  outbreak.  House  to  house  survey  done.  51  Blood  (serum) samples were collected; out of those 29 samples were found to be dengue positive and 22 were found to be dengue negative tested at Sadar Hospital Gopalganj Lab. Total 14 Samples tested for Elisa; out of those 07 found to be positive and 07 found to be negative tested at NMCH, Patna. All cases treated symptomatically.
Source reduction activities undertaken. Health education given.", Barauli   Bhore,26.396397,84.5848309
10,1409,1409,42,2019,Bihar,Jahanabad,Jehanabad,5,0,10-10-2019 00:00,18-10-2019 00:00,"Cases reported from Village Raja Bazar Babhana Gaurakshni,   UPHC   Erki  and   Ramgarh,   Block Jehanabad. District RRT investigated the outbreak. State    and    District    NVBDCP    officials    were informed.  House  to  house  fever  survey  done.  5 blood sample collected and sent to PMCH Patna; were positive for Dengue (IgM ELISA). All cases treated     symptomatically.     Source     reduction activities undertaken. Health education given."," Raja Bazar Babhana Gaurakshni,   UPHC   Erki  and   Ramgarh,   Block Jehanabad",23.6362593,85.5124209
