id1,id,SL,week,year,state,city,disctrict,cases,death,st_date,end_date,description,location,lat,lon
1,508,508,38,2015,Chandigarh,Chandigarh,,85,0,24-08-2015 00:00,,"13 Cases reported in 36th  week ending on 06th  September, further 72 more cases
reported in 39th  week ending on 27th  September 2015 from different sectors of Chandigarh. District RRT investigated the outbreak. House to house fever survey done. 09 from DPL Manimajra, 21 from PGIMER, 41 from GMSH-16 and 18 from  GMCH-32.Clustering  of  cases  observed  in  Sector-38.All  cases  treated symptomatically. Source reduction activities undertaken. Health education given",Chandigarh,30.7333148,76.7794179
2,533,533,39,2015,Chandigarh,Chandigarh,,112,0,24-08-2015 00:00,,"89 Cases reported till 39th week ending on 27th September, further 23 more cases reported  in  40th   week  ending  on  04th   October  2015  from  different  sectors  of Chandigarh. District RRT investigated the outbreak. House to house fever survey done. Clustering noted in Sec-22, Sec-24, Sec-38, Sec-41, Manimajra, Daria and Dhanas.  14  blood  samples  from  DPL  Manimajra,  35  blood  samples  from PGIMER, 47 blood samples from GMSH-16 and 16 blood samples from GMCH-
32  were  found  to  be  positive  for  positive  for  Dengue.  All  cases  treated symptomatically. Source reduction activities undertaken. Health education given",Chandigarh,30.7333148,76.7794179
3,720,720,46,2015,Chandigarh,Chandigarh,,905,0,02-09-2015 00:00,,"112 Cases reported till 40th  week ending on 04th  October 2015; further 783 more cases  reported  till  47th   week  ending  on  22nd   November  2015  from  different sectors of Chandigarh. District RRT investigated the outbreak. House to house fever   survey   done.   Clustering   noted   in   Sec-22,   Sec-24,   Sec-38,   Sec-41, Manimajra, Daria and Dhanas. 14 blood samples from DPL Manimajra, 35 blood samples from PGIMER, 47 blood samples from GMSH-16 and 16 blood samples from GMCH-32  were found  to be positive for  positive for  Dengue.  All  cases treated   symptomatically.   Source   reduction   activities   undertaken.   Health
education given",Chandigarh,30.7333148,76.7794179
4,790,790,50,2015,Chandigarh,Chandigarh,,919,0,02-09-2015 00:00,,"905 cases reported till 47th week ending on 22nd November 2015; further 14 more  cases  reported   from  different   sectors   of  Chandigarh.   District   RRT investigated the outbreak. House to house fever survey done. Clustering noted in Sec-22,  Sec-24,  Sector-25,  Sec-38,  Sec-41,  Manimajra,  Daria and  Dhanas.  16 blood samples from DPL Manimajra, 40 blood samples from PGIMER, 49 blood samples from GMSH-16 and 19 blood samples from GMCH-32 were found to be  positive  for  Dengue.  All  cases  treated  symptomatically.  Source  reduction
activities undertaken. Health education given",Chandigarh,30.7333148,76.7794179
5,396,396,35,2015,Chandigarh,Chandigarh,,13,0,24-08-2015 00:00,,"Cases  reported  from  Sector  38,  Manimajra,  District  Chandigarh.  District  RRT investigated the outbreak. House to house survey done.  13 blood samples tested positive  for  Dengue  (09  from DPL Manimajra,  03  from PGIMER  and  01  from GMCH-32).   All   cases   treated   symptomatically.   Source   reduction   activities
undertaken. Health education given.","Manimajra, Chandigarh",30.720226,76.8374945
6,511,511,39,2010,Chandigarh,Chandigarh,,10,0,04-09-2010 00:00,,"Cases  of  fever  reported  from  scattered  areas  of  UT,  Chandigarh,  of  whom  10  sera  samples tested positive for Dengue by ELISA test. All cases treated.  Fogging operation and anti-larval
activities  are  being  intensified  in  the  affected  areas.    IEC  activities  undertaken  regarding mosquito control measures.", Chandigarh,30.7333148,76.7794179
7,538,538,40,2010,Chandigarh,Chandigarh,,12,0,04-09-2010 00:00,,"Many cases of fever reported from UT, Chandigarh, of which 12 sera samples tested positive for Dengue by ELISA test. All cases treated. Fogging operation and anti-larval activities are being intensified  in  the  affected   areas.     IEC   activities  undertaken   regarding   mosquito  control
measures.", Chandigarh,30.7333148,76.7794179
8,578,578,41,2010,Chandigarh,Chandigarh,,24,0,04-09-2010 00:00,,"Many cases of fever reported from UT, Chandigarh, of which 12 sera samples tested positive for  Dengue  by ELISA test.  All  cases  treated.  Fogging  operation  and  anti-larval  activities  are being  intensified  in  the  affected  areas.   IEC activities  undertaken  regarding  mosquito  control
measures.",Chandigarh,30.7333148,76.7794179
9,641,641,43,2012,Chandigarh,Chandigarh,,579,0,03-09-2012 00:00,,"Outbreak  of  fever  reported  from  Chandigarh  city  and  surrounding  area, District  Chandigarh.  State  RRT  investigated  the  outbreak.  House  to  house survey  done.  Cases  treated  symptomatically.  From  3rd  September  to  21st October  2012,  579  serum  samples  were  collected  out  of  which  34  samples were  positive  for  Dengue  (NS1,  IgM  ELISA).  Entomological  survey  done. Anti larval operation and fogging done in the affected area. IEC done.", Chandigarh  city,30.7333148,76.7794179
10,662,662,44,2010,Chandigarh,Chandigarh,,24,0,04-09-2010 00:00,,"Cases  of  fever  reported  from  UT  Chandigarh,  of  which  19  sera  samples  tested  positive  for Dengue by ELISA test. Fogging operation and anti-larval activities are being intensified in the
affected areas.  IEC activities undertaken regarding mosquito control measures.",Chandigarh,30.7333148,76.7794179
