id1,id,SL,week,year,state,city,disctrict,cases,death,st_date,end_date,description,location,lat,lon
1,526,526,39,2015,Chhattisgarh,Raipur,,10,0,22-08-2015 00:00,,"Cases of fever reported from different areas of Raipur. District RRT investigated the outbreak.  House to house fever survey done.  10  out  of  92 Blood  samples tested at JNM Hospital Raipur were found to be positive for Dengue IgM ELISA. All cases treated symptomatically. Source reduction activities were undertaken.
Health education given.",Raipur,21.2513844,81.6296413
2,605,605,41,2015,Chhattisgarh,Raipur,,42,0,22-08-2015 00:00,,"17 Cases reported till 41st  week ending on 11th  October 2015, further 25 more cases reported in 42nd  week ending on 18th  October 2015 from different areas of Raipur.  District  RRT investigated  the  outbreak.  House  to  house  fever  survey done. 28 samples tested at JNM Hospital Raipur were found to be positive for Dengue.14  blood  samples  tested  at  Ramakrishna  Care  Hospital  Raipur  were
found to be positive for Dengue IgG ELISA. All cases treated symptomatically. Source reduction activities were undertaken. Health education given.",Raipur,21.2513844,81.6296413
3,113,113,19,2013,Chhattisgarh,Durg,,67,0,01-05-2013 00:00,10-05-2013 00:00,"Cases  of  fever  with  joint  pain  reported  from  urban  area  Ahiwara (ward  No  1,2,3),  Block  Dhamdha,  Distrcit  Durg.    Medical  team investigated the outbreak. House to house survey done. Cases treated symptomatically. Out of 67 serum samples collected 24 were positive
for Dengue (IgM ELISA).  Anti-larval activities and fogging done.", Ahiwara,21.3565862,81.4114142
4,329,329,34,2011,Chhattisgarh,Raipur,,3,2,21-08-2011 00:00,25-08-2011 00:00,"Cases  of fever  and joint  pain reported  from Durga Mandir,  Laxman Nagar, Gudhyari (2 cases/1 death) and from Ward No. 14, Adarshpara, Rawabhata, Birgaon  ,  Dharsiwa  (1  case/  1  death)  .     District  RRT  investigated  the outbreak.   Sera  samples  were  positive  for  Dengue  antigen  (NS-1  test)  and antibodies (Ig  M ELISA).  Cases admitted  for treatment  at  Ekta Institute of Child    Health    Hospital,    Raipur.    Rapid    fever    survey,    entomological surveillance,   source  reduction  and  fogging  activities  undertaken  in  and around   the   affected   village.   IEC   activities   undertaken   regarding   early
treatment of cases and personal protection measures.","Durga Mandir,  Laxman Nagar, Gudhyari",21.2537431,81.6206627
5,405,405,36,2012,Chhattisgarh,Koriya,,304,3,02-08-2012 00:00,,"A  total of 1904  cases  reported  from  2nd  August  2012 to 4th  September  2012 from  Wards  of  Churcha  Colliery  (SECL),  PHC  Nager,  Block  Baikunthpur, District  Koriya.  Population  of the affected  area is  23000. State/District  RRT investigated  the  outbreak.  House  to  house  fever  survey  done.  Symptomatic treatment  given  to  cases  at  health  camp  organized  in  the  locality.  Patients treated at SECL Hospital Churcha and District Hospital Koriya. Out of 1108 serum samples collected 304 samples were positive for Dengue (NS1 Antigen, IgM  &  IgG  ELISA).   Entomological   survey  revealed:   House   Index  5.0, Container  Index 1.05, Breateau Index 5.71.   Source reduction  and Temephos spray done in the community. IEC activities done.","Baikunthpur,Koriya",23.2713487,82.5564559
6,442,442,37,2011,Chhattisgarh,Raipur,,4,0,06-09-2011 00:00,,"Serologically confirmed case of dengue reported from - RKCH Panhpedhi naka Raipur (1 Case);  Girls  Hostel  HNLU,  CHC  Abhanpur  (1  Case):  Monnet,  Ispat  Mandir,  Hasaud  (1 Case); and Matra Chhaya,  near Central Bank, Civil Lines, Raipur (1 Case). District RRT
investigated the case and conducted house to house survey. Temephos spraying done. IEC activities undertaken.",Panhpedhi naka Raipur,21.2134676,81.6537833
7,462,462,37,2015,Chhattisgarh,Sukma,,140,0,02-09-2015 00:00,,"Cases reported from PHC/SHC Dornapal, District Sukma. RRT investigated the outbreak. House to house survey done. 48 out of 140 samples tested at  Maharani  Hospital  Jagdalpur were found  to be positive for  Dengue.  All cases
treated symptomatically. Health education given.","Dornapal, Sukma",18.1547665,81.5087457
8,521,521,40,2014,Chhattisgarh,Raipur,,17,0,19-09-2014 00:00,29-09-2014 00:00,"Cases    reported    from    Rajbhawan    Colony,District Raipur. District RRT investigated the outbreak. Active search for cases done.  Symptomatic treatment given to cases. Out of 40 samples sent to JNM Medical College 17 tested positive by IgM ELISA. Anti larval activities and   fogging   done  in   the  affected   area.   IEC   done regarding personal protective measures.","Rajbhawan    Colony,Raipur",21.2424015,81.6450923
9,575,575,40,2015,Chhattisgarh,Raipur,,17,0,22-08-2015 00:00,,"10 Cases reported in 40th  week ending on 04th  October 2015, further 07 more cases reported in 41st  week ending on 11 October 2015 from different areas of Raipur.  District  RRT investigated  the  outbreak.  House  to  house  fever  survey done. 17 samples tested at JNM Hospital Raipur were found to be positive for Dengue  IgM  ELISA.  All  cases  treated  symptomatically.   Source  reduction
activities were undertaken. Health education given.",Raipur,21.2513844,81.6296413
10,631,631,42,2015,Chhattisgarh,Raipur,,47,0,22-08-2015 00:00,,"42 Cases reported till 42nd  week ending on 18th  October 2015; further 05 more cases reported in 43rd  week ending on 25th  October 2015 from different areas of Raipur.  District  RRT investigated  the  outbreak.  House  to  house  fever  survey done. 33 samples tested at JNM Hospital Raipur were found to be positive for Dengue.14  blood  samples  tested  at  Ramakrishna  Care  Hospital  Raipur  were found to be positive for Dengue IgG ELISA. All cases treated symptomatically.
Source reduction activities were undertaken. Health education given.", Raipur,21.2513844,81.6296413
