id1,id,SL,week,year,state,city,disctrict,cases,death,st_date,end_date,location,lat,lon
1,692,692,45,2012,Jharkhand,Bokaro,Bokaro,27,0,14-10-2012 00:00,,Bokaro,23.6692956,86.151112
2,1328,1328,39,2019,Jharkhand,Bokaro,Bokaro,6,0,20-09-2019 00:00,27-09-2019 00:00,"CHC  Chas,  Block  Chas",23.6360442,86.1654721
3,1368,1368,40,2019,Jharkhand,Bokaro,Bokaro,8,0,09-04-2019 00:00,,"CHC Chas (Sector-8 & Co- Operative Colony), Block Chas",23.624456,86.1781576
4,1430,1430,43,2018,Jharkhand,Dhanbad,Dhanbad,38,0,24-10-2018 00:00,27-10-2018 00:00,  Sabji  bagan  and chalchali  dhora,23.8021527,86.4254924
5,1578,1578,50,2018,Jharkhand,Dhanbad,Dhanbad,10,0,29-11-2018 00:00,," Bararee, Shamsher Nagar CHC
Jora Pokhar Jharia",23.7048937,86.4237143
6,684,684,45,2010,Jharkhand,East Singhbhum,Purbi Singhbhum,22,0,04-11-2010 00:00,,Jugsalai,22.759344,86.1904324
7,701,701,46,2010,Jharkhand,East Singhbhum,Purbi Singhbhum,24,0,04-11-2010 00:00,,Bagbera  Sakchi,22.8047623,86.2028402
8,545,545,41,2012,Jharkhand,East Singhbhum,Purbi Singhbhum,46,0,11-10-2012 00:00,12-10-2012 00:00,"Sonari ,Jamshedpur city, PHC Golmuri cum Jugsalai",22.7547046,86.2004355
9,673,673,44,2012,Jharkhand,East Singhbhum,Purbi Singhbhum,73,0,11-10-2012 00:00,,"Jamshedpur , PHC Golmuri cum Jugsalai, East Singhbhum",22.759344,86.1904324
10,1143,1143,33,2016,Jharkhand,East Singhbhum,Purbi Singhbhum,7,1,25-07-2016 00:00,,East Singhbhum,22.4866756,86.4996546
11,1447,1447,44,2017,Jharkhand,East Singhbhum,Purbi Singhbhum,11,0,22-08-2017 00:00,30-10-2017 00:00,"   Musabani,   PHC Nawarang  Market,  Block  Narwa  Pahar",22.5149666,86.4575435
12,1451,1451,44,2017,Jharkhand,East Singhbhum,Purbi Singhbhum,19,0,09-05-2017 00:00,,"   Chakulia,   SC  Bansole,  PHC Sardihia,   Block   Bankisole",22.4762938,86.7181216
13,1452,1452,44,2017,Jharkhand,East Singhbhum,Purbi Singhbhum,5,1,08-07-2017 00:00,,"  Ghatshila,  SC  Gopalpur,  PHC Moubhandar,  Block  Galudih",22.590057,86.4693717
