id1,id,SL,week,year,state,city,disctrict,cases,death,st_date,end_date,description,location,lat,lon
1,31,31,10,2010,karanataka,Belgaum,Belgaum,10,0,02-03-2010 00:00,02-03-2010 00:00,"Cases reported from Village Gotur, PHC Tukkanatti, Taluka Gokak. District RRT visited the affected area. Two blood samples collected for lab investigation; result awaited. House to house search done for fever  cases.  Entomological  survey  being  done  for  Aedes  larvae.
Mobile clinic set  up in  the village to treat  cases.  Fogging operation done. IEC activities conducted regarding prevention measures.","Tukkanatti,Gokak",16.3079834,74.8686224
2,261,261,28,2010,karanataka,Chirtadurga,Chitradurga,212,0,09-07-2010 00:00,,"Outbreak  reported  from  Village/  PHC  Dindavara,  Taluka  Hiriyur.  All  fever  cases presented  with  body  ache,  headache  and  thrombocytopenia.  District  RRT  visited  the affected  area  and  investigated  the  outbreak.  Out  of  the  17  samples  collected  for  lab testing,  7  tested  positive  for  Dengue  ELISA  and  12  sera  samples  crosschecked  at NIMHANS  also  tested  positive  for  Dengue.  586  blood  smears  collected  for  malaria found negative.  Since  the number of cases is  increasing,  so the PHC  Medical  Officer, along  with  the  medical  team  deputed  to  do  surveillance  in  the  affected  areas  on  a continuous   basis.  Anti  larval   measures   being  undertaken.   Health  education   given
regarding personal protection measures.","Dindavara,Hiriyur",13.8036055,76.6510177
3,312,312,33,2010,karanataka,Gulbarga,Gulbarga,31,0,02-08-2010 00:00,05-08-2010 00:00,"Outbreak  of fever with  joint  pain  reported from Itga Village,  Saradagi  PHC,
Gulburga Taluk. District RRT visited and investigated the affected area. Four sera  samples  collected;  lab  result  awaited.  House  to  house  fever  survey  and source reduction measures taken up. IEC activities strengthened and anti-larval
measures undertaken."," Itga, Saradagi ",17.3608114,76.9923875
4,311,311,33,2010,karanataka,Hassan,Hassan,17,0,01-08-2010 00:00,03-08-2010 00:00,"Cases  reported  from  Village/PHC  Bhuvanahalli.  District  RRT  visited  the affected area and investigated the outbreak. 3 blood samples collected and sent to  sentinel  laboratory;  result  awaited.  Active  case  search  and  larval  survey done   in   the  area;   larval   breeding  sites  found.   Source   reduction   actions
undertaken. Health education given regarding personal protection measures.", Bhuvanahalli,13.004195,76.139243
5,536,536,40,2010,karanataka,Kodagu,Kodagu,45,0,20-09-2010 00:00,,"Outbreak  reported  from  Village  Gonikoppa,  Kuttandi  PHC,  and  Emmegundi  Village,
Chennankote  PHC,  in  Virajpet  Taluk.  District  RRT  visited  and  investigated  the  affected area. Peri-domestic outdoor Aedes breeding sites found, mainly breeding sources are tyres, plastic  container,  metal  drums,  coconut  shells  and  solid  waste  materials.  One  case  found positive for Dengue and Chikungunya (the same person is found positive for both disease). Source  reduction  measures  have  been  taken  through  involving  PRI’s  and  community participation.   Health   workers   deputed   for   Surveillance,   source   identification,   source reduction and IEC Activities."," Gonikoppa,  Kuttandi ",12.1305842,75.8699832
6,103,103,19,2010,karanataka,Kolar,Kolar,12,0,30-04-2010 00:00,04-05-2010 00:00,"Cases   with   fever   reported   from  Kambalapalli,   Addagal-A   Sub-Center, Addagal  PHC,  Srinivaspur  Taluk.  District  RRT  visited  the  affected  area. Three blood samples of fever cases tested at Sentinal Lab found positive by ELISA for Dengue. 12 blood smears examined for Malaria found negative. Entomological survey done and Aedes aegypti larvae found in some water storage  tanks.  Source  reduction  measures  undertaken.  PHC  medical  team treated cases. House to house survey done for fever cases. Health education
given to villagers regarding vector borne disease prevention measures.",Kambalapalli,13.3888619,78.213171
7,104,104,18,2010,karanataka,Koppal,Koppal,10,0,29-04-2010 00:00,,"Cases  of  fever  reported  from  Belagavi  Taluk,  Uchagaon  PHC,  Village  Uchagaon.
District RRT visited the affected  area, investigated the outbreak and  suggested  control measures.  2  blood  samples  collected  for  laboratory  analysis;  result  awaited.  House  to house visit for fever cases done. Aedes larval survey done. Mobile clinic established in the   village.   Fogging   and   source   reduction   measures   undertaken.   IEC   activities undertaken regarding personal protection measures.","Belagavi  Taluk,  Uchagaon ,Uchagaon",15.8829197,74.428543
8,185,185,23,2010,karanataka,Uttara Kannada,Uttara Kannada,40,0,24-05-2010 00:00,,"Outbreak  reported  from  adjoining  villages  of  PHCs  Salkod,   Kharva,   Gersoopa, Ramanguli, Santeguli, Banvasi, Manki, Nandoli under CHC Honnavar (28 cases) and CHC Ankola (12 cases).  District  RRT visited  the affected  area and  investigated  the outbreak.  Out  of  34  sera  samples  collected  and  sent  to  VDL Shimoga,  18  samples tested  positive  for  Dengue  and  7  positive  for  Chikungunya.  Larval  survey revealed breeding  sites  in  water  storage  tanks  and  Areca  nut  plantations.  Fogging,  source reduction,  and  anti-larval  measures  undertaken.  Health  education  given  regarding
personal protection measures."," Salkod,   Kharva",14.2671362,74.5170319
9,187,187,24,2011,karanataka,Bidar,Bidar,34,0,13-06-2011 00:00,18-06-2011 00:00,"Outbreak  reported  from  Village  Bellura,  Kolar  Industrial  Area,  Andura  PHC, Block  Bidar.    District  RRT  investigated  the  outbreak.  Serum  samples    were positive for Ig M Elisa Dengue.   Fever survey done in the affected  village and anti-larval  measures  undertaken.  IEC  activities  undertaken  regarding  mosquito control measures and personal protection measures.","Bellura,  Kolar  Industrial",17.899763,77.459849
10,474,474,39,2011,karanataka,Bijapur,Bijapur,12,1,19-09-2011 00:00,23-09-2011 00:00,"Cases  reported  from  village/PHC  Tavada.  District  RRT  visited  the  area  and investigated  the outbreak.  House to house survey done for  Aedes larva.  Out  of 1007  houses  surveyed,  418  were  found  to  have  breeding  sites  for  Aedes. Serological  test  results  awaited.  One  round  of  fogging  operations  along  with Abate   application   done.   Anti-larval   measures   undertaken.   IEC   activities
undertaken regarding early treatment of cases and personal protective measures.", Tavada,16.8299689,75.7363025
