id1,id,SL,week,year,state,city,disctrict,cases,death,st_date,end_date,description,location,lat,lon
1,46,46,12,2010,Kerala,Ernakulum,Ernakulum,9,0,14-03-2010 00:00,16-03-2010 00:00,"Cases  reported  from  Muvattupuzha  Municipal  area,  Pandapally  Block. District  RRT  visited  the  affected  area  and  investigated  the  cases.  Nine sera  samples  sent  to  Public  Health  Lab,  Ernakulum  tested  positive  for anti-Dengue  IgM  antibodies.  Fogging  and  source  reduction  measures
done in affected areas. Health education given.","Muvattupuzha  Municipal ,Pandapally",9.9088781,76.6080554
2,153,153,20,2010,Kerala,Idukki,Idukki,10,0,14-05-2010 00:00,,"Cases   reported   from   few   wards   of   Karimkumman,   Kumaramangalam,   Alakode, Elamdesam,  Thattakuzha,  Purapuzha Panchayats.  IgM  ELISA  test  done.  Spraying  and
fogging activities done.  Health awareness classes at ward level.  Special Medical camp conducted.", Karimkumman,9.8559949,76.6845832
3,73,73,15,2010,Kerala,Kottayam,Kottayam,7,1,09-04-2010 00:00,13-04-2010 00:00,"Cases reported from CHC Erumely, Koruthode. District level RRT
investigated  the  outbreak  at  Koruthode.  4  out  of  7  sera  samples tested positive for Dengue by RTPCR. Sera samples of fever cases sent for viral studies at ICMR Research Centre, Kottayam.  Source reduction    measures    undertaken.    Health    awareness    meetings conducted   for   all   at   ward   level  regarding   personal   protection
measures.","Erumely, Koruthode",9.4810562,76.8450521
4,78,78,15,2010,Kerala,Kottayam,Kottayam,10,1,09-04-2010 00:00,,"Cases reported from CHC Erumely, Koruthode. 7 samples taken for RTPCR for Dengue virus of which  4  samples  are  positive.  District  level  RRT  investigated  the  outbreak  at  Koruthode. Samples  of  patients  with  history  of  fever  less  than  5  days  duration  were  collected  for  viral studies at ICMR filed Research Centre, Kottayam. Source reduction measures. Health awareness
class at ward level. Spraying and fogging conducted.","Erumely, Koruthode",9.4810562,76.8450521
5,87,87,16,2010,Kerala,Kottayam,Kottayam,14,1,09-04-2010 00:00,,"Cases reported from CHC Erumely, Koruthode. 7 samples taken for RTPCR for Dengue virus of which  4  samples  are  positive.  District  level  RRT  investigated  the  outbreak  at  Koruthode. Samples  of  patients  with  history  of  fever  less  than  5  days  duration  were  collected  for  viral studies at ICMR filed Research Centre, Kottayam. Source reduction measures. Health awareness
class at ward level. Spraying and fogging conducted.","Erumely, Koruthode",9.4810562,76.8450521
6,94,94,17,2010,Kerala,Kottayam,Kottayam,32,1,09-04-2010 00:00,,"Cases  reported  from  villages  Koruthode  and  Kalaketty,  CHC  Erumely  (24cases/1death),  and PHC Thalanadu (8 cases). District RRT investigated the outbreak. Sera samples tested positive for Dengue by RTPCR. Sera samples of fever cases also sent for viral studies at ICMR Research Centre,  Kottayam.  Source  reduction  measures  undertaken.  The  owners  of  rubber  plantation advised to ensure that the latex collecting pots are kept upside down after emptying latex from
the pot, to avoid breeding of mosquitoes. Health awareness classes conducted at ward level.",Koruthode  and  Kalaketty,9.4449027,76.9340573
7,133,133,20,2010,Kerala,Kottayam,Kottayam,10,0,26-04-2010 00:00,,"Cases  reported  from  CHC  Erumely,  Erumely Panchayat  (Kalaketty area)  District  RRT
investigated the outbreak at Erumely area. Lab result is Dengue positive. Source reduction done. Medical camp setup to treat cases, and notice given to owners of Rubber plantation to  make  sure  that  their  employees  keep  the  latex  collecting  pots  upside  down  after empting latex from the pot.  Health awareness classes at ward level conducted."," Erumely,  Erumely Panchayat ",9.4810774,76.8456315
8,152,152,20,2010,Kerala,Kottayam,Kottayam,8,0,03-05-2010 00:00,,"Cases reported from CHC Edamaruku, Thalanadu. District level RRT team investigated the outbreak. Cases presented with high fever, rash, malaise and thrombocytopenia. Sera samples of cases with history of fever  of less than 5 days duration,  were collected  for viral studies at ICMR Field Research Centre, Kottayam. 5 samples taken for RTPCR for Dengue Virus; out of which 3 samples are positive for Dengue. Fever survey conducted. Source  reduction  activities  done.  Fogging  done.  Special  Medical  camp  conducted  at Panchayat  Office,  Thalanadu.  Health awareness classes at  ward  level.  Notice given  to owners  of Rubber plantation,  insisting that they should make sure their  employees are
keeping the latex collecting pots upside down after emptying latex from the pot.","Edamaruku, Thalanadu",9.7542026,76.7602469
9,154,154,20,2010,Kerala,Kottayam,Kottayam,16,0,26-04-2010 00:00,,"Cases  reported  from  CHC  Erumely,  Erumely  Panchayat  (Kalaketty  area)  District  RRT investigated  the  outbreak  at  Erumely  area.  District  RRT  investigated  the  outbreak.  Sera samples tested  positive  for Dengue  by RTPCR.  Sera  samples of fever cases  also  sent  for viral studies at  ICMR Research Centre, Kottayam. Source reduction measures undertaken. The  owners  of rubber  plantation  advised  to  ensure  that  the  latex collecting  pots  are  kept upside  down  after  emptying  latex  from  the  pot,  to  avoid  breeding  of  mosquitoes.  Health
awareness classes conducted at ward level.",Erumely,9.4810562,76.8450521
10,186,186,23,2010,Kerala,Kottayam,Kottayam,66,1,09-04-2010 00:00,,"Cases reported from villages Koruthode and Kalaketty, CHC Erumely, and PHC Thalanadu. District RRT investigated the outbreak. Sera samples tested positive for Dengue by RTPCR. Sera samples of fever cases also sent for viral studies at ICMR Research Centre, Kottayam. Source reduction  measures undertaken.  The owners of rubber plantation advised to ensure
that  the  latex  collecting  pots  are  kept  upside  down  after  emptying  latex  from  the  pot,  to avoid breeding of mosquitoes. Health awareness classes conducted at ward level.",Koruthode and Kalaketty,9.4449027,76.9340573
11,208,208,24,2010,Kerala,Kottayam,Kottayam,68,1,09-04-2010 00:00,,"Cases reported from villages Koruthode and Kalaketty, CHC Erumely and PHC Thalanadu. District RRT investigated the outbreak. Sera samples tested positive for Dengue by RTPCR. Sera samples of fever cases also sent for viral studies at ICMR Research Centre, Kottayam. Source reduction  measures  undertaken.  The owners of rubber plantation advised to ensure that  the  latex  collecting  pots  are  kept  upside  down  after  emptying  latex  from  the  pot,  to
avoid breeding of mosquitoes. Health awareness classes conducted at ward level.",Koruthode and Kalaketty,9.4449027,76.9340573
