id1,id,SL,week,year,state,city,disctrict,cases,death,st_date,end_date,description,location,lat,lon
1,297,297,32,2010,Tamil Nadu,Dindigul,Dindigul,9,0,25-07-2010 00:00,30-07-2010 00:00,"Cases  of  fever  reported  from  village  Thamaraipad,  PHC  M.M.Kovilur  under Block Dindigul. 8 blood smears tested found negative for malaria. Out of 4 sera samples collected and sent to Zonal  Entomological Team (ZET),  Dindigul  for analysis  of Dengue,  only one  found  positive.  House  to house survey done  to find new fever cases and for entomological surveillance. The entire community has the practice of storing water in uncovered vessels like cisterns, drums, pot, etc.  Antilarval  measures  like  source  reduction  etc  adopted.  Health  education given  to  public  regarding  early  treatment  of  cases  and  personal  protection
measures."," Thamaraipad,  M.M.Kovilur",10.4079812,78.0395149
2,298,298,32,2010,Tamil Nadu,Namakkal,Namakkal,21,0,27-07-2010 00:00,28-07-2010 00:00,"Cases     with     fever,     headache     and     myalgia    reported     from    Village Sadayampalayam, PHC/Block Pallipalayam.   Seven sera samples sent to ZET, Salem  for  the  diagnosis  of  dengue;  result  awaited.  Health  education  given
regarding personal protection measures.",Sadayampalayam,11.1748295,77.4354367
3,471,471,38,2010,Tamil Nadu,Salem,Salem,18,0,09-09-2010 00:00,,"Cases   of   fever   with   arthralgia   reported   from   Village/Primary   Health   Centre Poolampatty. Out of 5 sera samples collected and sent to IVC&Z, Hosur, two samples found  positive  for  IgM  ELISA  Dengue.  18  blood  smears  collected  from  fever  cases found  negative for  Malaria.  Paramedical  staff deputed  to  the affected  area  for  active surveillance.  Fogging  activities  and  source  reduction  measures  undertaken  in  and around the affected village. IEC activities undertaken regarding early treatment of cases
and personal protection measures to be adopted by the community.",Poolampatty,11.6571547,77.7655229
4,775,775,51,2010,Tamil Nadu,Sivaganga,Sivaganga,30,0,29-10-2010 00:00,,"Outbreak  of  fever  and  joint  pain  reported  from  Village  Koottukollai,  PHC  Siruvayal, Block  Sivaganga.  On  entomological  survey,  Aedes  larval  breeding  found  inside  water storage tanks. District RRT visited the affected area and investigated the outbreak. Out of 5 sera samples collected, 2 samples tested positive for Dengue and one tested positive for  Chikungunya.  All  cases  treated  symptomatically.  Source  reduction  measures  like Abate  application,  and  also  fogging  activities  undertaken.  IEC  activities  undertaken regarding early treatment of cases and personal protective measures to be adopted by the
community.","Swarupnagar ,  near  Swarupnagar United  Club",13.168056,77.222222
5,313,313,33,2010,Tamil Nadu,Thiruvarur,Thiruvarur,22,0,10-08-2010 00:00,10-08-2010 00:00,"Outbreak    of    fever,    arthralgia    and    myalgia    reported    from    Village Thiruthuraipoondi,  Arasaladi  st,  Barma  Colony,  PHC  Alathambady.  District RRT visited the affected area and investigated the outbreak. Many fever cases identified by door to door survey. Entomological survey revealed high House Index. Blood smears taken for Malaria found negative. 3 sera samples sent to IVCZ, Hosur; result awaited. Anti-larval and anti-adult measures undertaken in
the area. Health education given regarding personal protection measures.", Thiruthuraipoondi,10.5488795,79.639015
6,273,273,30,2010,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,9,0,24-07-2010 00:00,26-07-2010 00:00,"Cases  with  symptoms  of  fever  and  arthralgia  reported  from  Village  Periyar
Nagar,  PHC  Su.Valavetti,  Block  Thiruvannamalai.  On  entomological  survey high  density of Aedes  aegypti  mosquito  found  in  the area.  Huge numbers  of unused tyres found dumped in the area which accumulate rain water and serve as breeding sites for mosquitoes. Medical teams deployed to treat cases and to do door to door survey for fever cases.  Sera samples sent  for lab test;  result awaited.  Breeding sources destroyed and fogging operation  carried out in the area. IEC activities undertaken regarding personal protection measures.",Periyar,12.2163546,79.0598685
7,299,299,32,2010,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,20,0,28-07-2010 00:00,02-08-2010 00:00,"Outbreak of fever reported from Village/PHC/Block A.M.Pudur. Out of 20 sera
samples  collected and  sent  to  ZET,  Vellore for  analysis,  2  found  positive  for Dengue.  Health  education  given  to  public  regarding  early  treatment  of  cases and personal protection measures.",A.M.Pudur,12.4917999,79.1096901
8,328,328,34,2010,Tamil Nadu,villupuram,Villupuram,158,0,10-08-2010 00:00,,"Outbreak of fever reported from Village Kappiyampuliyur, Block/ PHC Vikkiravandi. District  RRT visited  the affected  area and  investigated the outbreak.  Out  of 11  sera samples of fever cases sent to ZET, Cuddalore, 7 samples tested positive for Dengue
(IgM ELISA). Mass fever survey done and symptomatic treatment given.","Kappiyampuliyur,  Vikkiravandi",11.9768427,79.5392686
9,663,663,44,2010,Tamil Nadu,villupuram,Villupuram,68,0,25-10-2010 00:00,,"Cases  reported  from  Village  Mundiampakkam  Colony,  PHC  Thumbur  (18  cases)  and  from
Village Ponnankuppam, PHC Vembi (50 cases) under Block Vikkiravandi. District RRT visited and investigated the affected area.  10  sera samples sent  to  ZET Cuddalore;  5 samples  tested positive for Dengue. Anti-larval measures undertaken. Symptomatic treatment given.","Mundiampakkam  Colony,  PHC  Thumbur ",11.9931218,79.5173907
10,27,27,6,2010,Tamil Nadu,Virudhunagar,Virudhunagar,38,1,28-01-2010 00:00,,"Outbreak reported from Village E.L. Reddiapatti, Sub Centre Muthandiyur, PHC Elayiarampannai,  Block  Elayirampannai.  Cases  presented  with  high  fever  and body-ache. Medical team deployed to treat cases. 11 sera samples sent to Kingâ€™s Institute,  Guindy,  for   serological  analysis.  Health  education  given,  fogging
operation done."," E.L. Reddiapatti, Muthandiyur",9.426053,78.2060272
11,777,777,51,2011,Tamil Nadu,Ariyalur,Ariyalur,7,0,15-12-2011 00:00,20-12-2011 00:00,"Cases  of  fever  with joint  pain  reported  from  Village  Thathanur,  PHC T.Pottakollai,  Block  Jayankondam.  District  RRT  visited  the  affected area  and  investigated  the  outbreak.  Out  of 7  serum  samples  collected and  sent  to  SE-ZET  Trichy,  two  tested  positive  for  Dengue  (Ig  M). Mass   fever   survey   and   entomological   surveillance   done.   Fogging activities  and  source  reduction  measures  undertaken.  IEC  activities undertaken  regarding early treatment  of cases  and  personal  protection
measures to be adopted by the community.","Thathanur,T.Pottakollai, Jayankondam",11.1450212,79.258682
12,726,726,48,2011,Tamil Nadu,Coimbatore,Coimbatore,13,0,26-11-2011 00:00,28-11-2011 00:00,"Cases  of  fever  reported  from  Nursing  Student  Hostel,  Coimbatore Medical   College   Hospital,  Coimbatore.  District  RRT  visited  the
affected area and investigated the outbreak. Out of 20 blood samples sent  to Microbiology  Lab,  Coimbatore  Medical  College  Hospital;  2 tested  positive  for  Dengue.  Source  reduction  and  fogging  activities done.    IEC   activities   undertaken   regarding   personal    protection
measures.",Coimbatore,11.0168445,76.9558321
13,440,440,38,2011,Tamil Nadu,Dindigul,Dindigul,6,1,16-09-2011 00:00,21-09-2011 00:00,"Cases    of   fever,    myalgia,    headache,    and    cough   reported    from   Village Thirumalairayapuram,    PHC   Sriramapuram,    Block   Reddiarchatram.    Serum samples tested  positive for Dengue at  ZET Dindigul. Fever surveillance started. Anti-larval   and   anti-adult   measures   undertaken   along   with   up-gradation   of environmental sanitation. IEC activities undertaken regarding early treatment  of
cases and personal protection measures to be adopted by the community.","Thirumalairayapuram,    PHC   Sriramapuram,    Block   Reddiarchatram",10.4339649,77.8076301
