id1,id,SL,week,year,state,city,disctrict,cases,death,st_date,end_date,description,location,lat,lon
1,612,612,42,2010,Uttar Pradesh,Budaun,Budaun,7,0,12-09-2010 00:00,,"Cases   reported   from   Block   Kakrala.   District   RRT   visited   the   affected   area   and investigated  the  outbreak.   Active   surveillance  done  in  the  affected  area.  Fogging activities and source reduction measures undertaken. IEC activities undertaken regarding
early treatment of cases and prevention of Dengue in the community.",Kakrala,27.8941595,79.1971742
2,672,672,44,2012,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar,348,0,24-09-2012 00:00,,"Outbreak   of   fever   with   headache,   retro   orbital   pain   and   haemorrhagic manifestation  reported  from  Kanpur  city and  surrounding  area,  District  Kanpur Nagar. District RRT investigated the outbreak. Active search for fever cases done. From 24th September to 9th November  2012, out of 348 serum samples tested at GSVM  Medical  College  Kanpur  Nagar,  148  samples  were  positive  for  Dengue (IgM  ELISA).  Anti  larval  activities  and  fogging  done in  the affected  area.  IEC done.", Kanpur Nagar,26.449923,80.3318736
3,709,709,46,2012,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar,394,0,24-09-2012 00:00,,"It was mentioned in the weekly IDSP outbreak report of 45th week (week ending 11th November  2012) 348 cases of fever  with headache, retro orbital pain and haemorrhagic  manifestation  were  reported  from  Kanpur  city  and  surrounding area, District Kanpur Nagar till 9th November 2012. From 10th to 29th November 2012, further 46 cases occurred. Cases had travel history to Delhi. Out of 394 serum  samples tested  at  GSVM Medical  College Kanpur  Nagar,  188  samples
were positive for Dengue (IgM ELISA). Control measures being undertaken.", Kanpur  city,26.449923,80.3318736
4,587,587,42,2013,Uttar Pradesh,Agra,Agra,14,0,11-10-2013 00:00,17-10-2013 00:00,"Cases  of  fever  reported  from  Blocks  Etmadpur,  Khandoli  and Urban area of Agra, District Agra. District RRT investigated the outbreak.   Cases started occurring in  early September  2013. No deaths were reported till date. Active search  for  cases done. All the  cases   were  treated  symptomatically.     Out   of  93  serum samples  collected,  14  were  positive  for  Dengue  (NS1,  IgM
ELISA). Antilarval activities and fogging done. IEC done.","Etmadpur,  Agra",27.2333127,78.1991896
5,498,498,39,2015,Uttar Pradesh,Agra,Agra,45,0,22-09-2015 00:00,23-09-2015 00:00,"Cases reported  from Agra,  Urban.   District  RRT investigated the
outbreak. House to house survey done.  Out of 45 Serum samples tested,  03  samples  were  found  to  be  positive  for  Dengue  NS1 ELISA   at   S.N.   Medical   College,   Agra.   All   cases   treated symptomatically.  Source  reduction  activities  undertaken.  Health
education given.",Agra,27.1766701,78.0080745
6,430,430,36,2015,Uttar Pradesh,Bareilly,Bareilly,64,0,17-08-2015 00:00,,"Cases   reported   from  Lodhi   Nagar   Fatehganj   and   BDA   Colony   Kargaina, Bareilly.  District RR investigated the outbreak. House to house survey done.49 out  of 150 samples tested  at  Regional  Laboratory Swathaya Bhawan  Lucknow were found to be positive for dengue. All cases treated symptomatically. Source
reduction activities undertaken. Health education given.","Kargaina, Bareilly",28.3248157,79.398642
7,602,602,41,2015,Uttar Pradesh,Fatehpur,Fatehpur,57,1,12-09-2015 00:00,,"Cases reported from Village Nonara, Block Amauli. District RRT investigated the outbreak. House to house survey done. 57 out of 87 blood samples tested at
U.H.M Kanpur were found to be positive for Dengue IgM ELISA. One 11 year
old  male  child  died  due  to  the  condition.  All  cases  treated  symptomatically. Source reduction activities undertaken. Health education given.","Nonara, Block Amauli",26.0534856,80.3679529
8,680,680,44,2015,Uttar Pradesh,Fatehpur,Fatehpur,12,0,26-09-2015 00:00,,"Cases of high grade fever, joint pain, headache and muscle pain  reported from Village   Lahurisaray,   CHC/Block   Amauli.   District   RRT   investigated   the outbreak.  House  to  house  survey done.  10  Blood  samples  tested  positive  for Dengue at U.H.M Kanpur. All cases treated symptomatically. Source reduction
activities undertaken. Health education given.","Lahurisaray,   CHC/Block   Amauli",26.0125593,80.2982413
9,431,431,36,2015,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,48,0,17-08-2015 00:00,,"Cases  reported  from  Noida  and  Gr.   Noida.   District   RRT  investigated  the outbreak. House to house survey done.17 out of 48 blood samples tested positive for  dengue  NS1  at  District  Hospital,  Gautambuddh  Nagar.  All  cases  treated
symptomatically. Source reduction activities undertaken. Health education given.",Noida,28.5355161,77.3910265
10,629,629,42,2015,Uttar Pradesh,Hardoi,Hardoi,75,1,27-09-2015 00:00,,"Cases   reported   from   Village   Barsoia,   PHC/Block   Bhawan.   District   RRT investigated the outbreak.  House to house survey done.  75 Blood slides tested and found negative for Malaria. 03out of 07 Serum samples were found to be dengue positive at Regional Lab Lucknow. All cases treated symptomatically.
Health education given.","Barsoia,   PHC/Block   Bhawan",27.3965071,80.1250479
11,655,655,44,2015,Uttar Pradesh,Jalaun,Jalaun,68,0,26-10-2015 00:00,29-10-2015 00:00,"Cases  reported  from  Village  Chandarsi,  Block  Kadaura.  District RRT investigated the outbreak. House to house fever survey done. 03  Samples  were  tested  and  found  to  be  Dengue  IgM  ELISA positive  at  Regional  Lab  IDSP  Swasthya  Bhawan  Lucknow.  All cases    treated    symptomatically.    Source    reduction    activities
undertaken. Health education given."," Chandarsi,  Block  Kadaura",25.9113422,79.7596142
12,527,527,39,2015,Uttar Pradesh,Jalaun,Jalaun,23,0,22-09-2015 00:00,,"Cases reported  from District  Jhansi.  RRT investigated  the outbreak.  House to house survey done. 23 out of 120 blood samples tested at MLB Medical College Jhansi  were  found  to  be  positive  for  Dengue  by  ELISA.  All  cases  treated
symptomatically. Source reduction activities undertaken. Health education given.",Jhansi,25.4484257,78.5684594
13,661,661,43,2015,Uttar Pradesh,Jalaun,Jalaun,26,0,04-10-2015 00:00,,"Cases  reported  from  Jhansi.  District  RRT  investigated  the  outbreak.  House  to house survey done. 144 Samples tested at MLB Medical College Jhansi. Out of
those  26  sample  were  found  to  be  positive  for  Dengue.  All  cases  treated symptomatically. Source reduction activities undertaken. Health education given.",Jhansi,25.4484257,78.5684594
14,348,348,33,2015,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar,38,1,01-08-2015 00:00,,"Cases of fever, severe headache, pain in abdomen, nausea vomiting, cough and generalized weakness reported from Village Bahura, CHC Ghatampur. State and central team investigated the outbreak.  Majority of cases were in 6-35 year age group.  38  blood  samples  tested  positive  for  dengue  IgM  ELISA.  All  225  blood
smears   tested   were   found   to   be   negative   for   malaria.   All   cases   treated symptomatically. Source reduction activities undertaken. Health education given.","Bahura,Ghatampur",26.1476121,80.1707662
15,1142,1142,33,2016,Uttar Pradesh,Budaun,Budaun,16,0,08-11-2016 00:00,17-08-2016 00:00,"Cases reported from Village Gominnagla, Block Jagat.  District  RRT  investigated  the  outbreak. House   to   house   survey   done.   All   16   Blood samples  tested  at  District  Malaria  Laboratory, found negative for malaria. Out of 07 Blood serum samples tested at Regional Laboratory, Swasthya Bhawan, Lucknow, 01 found positive for Dengue. Health camp organized in the school and all cases
treated symptomatically. Health education given."," Gominnagla, Block Jagat",27.9618096,79.2479342
16,1264,1264,37,2016,Uttar Pradesh,Budaun,Budaun,18,0,09-03-2016 00:00,,"Cases  reported  from  Village  Alapur,  Block/PHC  Miaon.  District RRT investigated the outbreak. House to house survey done. Out of 07 Blood samples tested, 02 found positive for  dengue. All cases
treated symptomatically. Health education given.","  Alapur,  Block  Miaon",27.9145945,79.2489464
17,1146,1146,33,2016,Uttar Pradesh,Budaun,Budaun,18,0,08-09-2016 00:00,,"Cases reported from Village/NPHC Badullaganj, Block Quader chowk. District RRT investigated the outbreak. House to house survey done. All 18 Blood tested at District Malaria Laboratory, found negative for Malaria. Out of 07 Serum samples tested at Regional Laboratory, Swasthya Bhawan, Lucknow, 01 sample found positive for Dengue. All cases treated symptomatically. Source reduction activities undertaken. Health education given.","/NPHC Badullaganj, Block Quader chowk",27.872451,79.0821241
18,1290,1290,38,2016,Uttar Pradesh,Saharanpur,Saharanpur,14,0,09-03-2016 00:00,,"Cases   reported   from   Village   Chikana,   Alipur,   Choramandi, Mirzapur,  Block/CHC Sarsawa,  Urban  Area Sarsawa,  Moholla, Afgan,   Bhogpur,   Khatriyan.   District   RRT   investigated   the outbreak.  House to house survey done.  Out  of 76  blood  serum samples   tested   at   SMMH   Medical   College   Saharanpur;   14 samples found positive for dengue by IgM Elisa. All cases treated symptomatically. Source reduction activities undertaken.  Health
education given.","   Chikana,   Alipur,   Choramandi, Mirzapur,  Block/CHC Sarsawa,  Urban  Area Sarsawa,  Moholla, Afgan,  Bhogpur,   Khatriyan",30.0237172,77.4173069
19,1291,1291,38,2016,Uttar Pradesh,Saharanpur,Saharanpur,44,0,09-09-2016 00:00,,"Cases reported from Block/CHC Deoband Urban Area- Deoband. District  RRT investigated  the outbreak.  House to house survey done.  Out of 127 blood serum sample tested at SMMH Medical College  Saharanpur;  44  samples  found  positive  for  dengue  by IgM Elisa.  All  cases treated  symptomatically.  Source reduction
activities undertaken. Health education given.",Deoband Urban Area- Deoband,29.6880187,77.6820491
20,1432,1432,43,2018,Uttar Pradesh,Auraiya,Auraiya,103,3,10-04-2018 00:00,24-10-2018 00:00,"Cases  reported  from  Village  Bidhuna,  SC  / PHC  /  Block  Bela.  District  RRT  investigated the outbreak. House to house survey done. 102 blood slides of all fever cases for malaria were tested out of which 02 positive for PV. 13 RDT card test for Dengue Antigen NS1 (03 positive). Health   Camp   Organized,   all   cases   treated symptomatically.   Source   reduction   activities
undertaken. Health education given.","  Bidhuna,  SC  / PHC  /  Block  Bela",26.802083,79.5026584
21,1468,1468,44,2019,Uttar Pradesh,Auraiya,Auraiya,209,0,29-10-2019 00:00,11-01-2019 00:00,"Cases   reported   from   Village/SC   Sehua,   PHC Sanfar,   CHC/   Block   Ajeetmal.   District   RRT investigated   the   outbreak.     State   and   District NVBDCP officials were informed. House to house fever  survey  done.  Ou5t  of  75   blood  sample collected;  24  samples  were  positive  for  Dengue. Health    camps    organized.    All    cases    treated
symptomatically.  Source  reduction  and  fogging activities undertaken. Health education given.","   Sehua,   PHC Sanfar,   CHC/   Block   Ajeetmal",26.5706587,79.3130972
22,1133,1133,32,2019,Uttar Pradesh,Bareilly,Bareilly,16,0,08-02-2019 00:00,08-08-2019 00:00,"Cases  reported  from  several  blocks  Bhojipura, Meerganj,  Baheri  Bhamora,  Majhgawan.  District RRT  investigated  the  outbreak.  House  to  house survey  done.  All  cases  treated  symptomatically.
Source     reduction     activities     and     fogging undertaken. Health education given.","Bhojipura, Meerganj,  Baheri  Bhamora,  Majhgawan",28.5155022,79.456325
23,1365,1365,40,2019,Uttar Pradesh,Farrukhabad,Farrukhabad,29,0,28-09-2019 00:00,10-01-2019 00:00,"Cases reported from Village Amethi Kohna, Block Baron.  District  RRT  investigated  the  outbreak. State    and    District    NVBDCP    officials    were informed. House to house survey done. Out of 21 blood  samples  collected  and  sent  to  SSH  Lab Saharanpur;   result   awaited.   All   cases   treated symptomatically.    Source    reduction    activities
undertaken. Health education given."," Amethi Kohna, Block Baron",27.3981749,79.6193754
