id1,id,SL,week,year,state,city,disctrict,cases,death,st_date,end_date,description,location,lat,lon
1,725,725,48,2010,West  Bengal,Bankura,Bankura,6,0,21-11-2010 00:00,22-11-2010 00:00,"Cases  reported  from  Vill  Salboni,  Namo  Anchuri,  SC  Salboni,  Bankura-I
Block. District RRT visited the affected area. Sera samples tested positive for Dengue NS1 Ag & IgM antibody. Focal spray done and Impregnated bed net
supplied  in  the  affected  area.  Cases  treated  symptomatically.  IEC  activities undertaken regarding early treatment of cases.","Salboni,  Namo  Anchuri,  SC  Salboni,  Bankura-I",23.2561375,87.0186406
2,792,792,51,2010,West  Bengal,Burdwan,Barddhaman,50,1,18-12-2010 00:00,,"Outbreak reported from Muslimpara, Hanspukur, subcenter Bandelbaj, GP Purba Satgachia,  Kalna-II. District RRT visited and investigated the affected area. Blood samples sent to STM, Kolkata for testing for Malaria, Dengue, Chikungunya and Enteric fever; results were negative for Malaria and Widal test; result of Dengue and Chikungunya test awaited. Symptomatic treatment given. Regular surveillance of
the affected area done. IEC activities undertaken regarding personal protective measures.","Muslimpara,  Kalna-II",23.2276061,88.3263603
3,472,472,38,2010,West  Bengal,Nadia,Nadia,102,0,01-09-2010 00:00,,"Outbreak  reported  from  Village  North  &  South  Chandra  under  Arbandi-I  Gram Panchayat  of  Santipur  Block,  Ranaghat  Subdivision.  District  Rapid  Response  Team with Block health team visited the affected  area and investigated the outbreak. Cases hospitalized at Santipur General Hospital. 6 sera samples found positive for Dengue. 35 blood smears tested negative for malaria. Four samples have found positive for Typhoid by  Widal  test.  Fogging  activities  and  source  reduction  measures  undertaken  in  the
affected village. IEC activities undertaken regarding early treatment of cases.","Arbandi-I  Gram Panchayat ,Santipur",23.2241491,88.5021177
4,513,513,39,2010,West  Bengal,Nadia,Nadia,24,0,21-09-2010 00:00,,"Outbreak of fever with rash and joint pain reported from Village Prabathnagar, Dakshin-II GP under  Hanskhali  Block  of  Ranaghat  SD.  Block  level  medical  team  visited  the affected  area. Mass   fever   survey  and   entomological   surveillance  done.   Fogging  activities  and   source reduction  measures  undertaken  in  and  around  the  affected  village.  IEC  activities  undertaken
regarding  early  treatment  of  cases  and  personal  protection  measures  to  be  adopted  by  the community.","Prabathnagar, Dakshin-II",23.4709656,88.556531
5,539,539,40,2010,West  Bengal,Nadia,Nadia,131,0,01-09-2010 00:00,,"Outbreak reported  from Village North  & South  Chandra under  Arbandi-I Gram Panchayat  of Santipur Block,  Ranaghat Subdivision.  District Rapid Response Team with Block health team visited the affected area and investigated the outbreak. Cases hospitalized at  Santipur  General Hospital. 6 sera samples found positive for Dengue. 35 blood smears tested negative for malaria. Fogging  activities  and  source  reduction  measures  undertaken  in  the  affected  village.  IEC
activities undertaken regarding early treatment of cases.","Arbandi-I Gram Panchayat ,Santipur Block",23.2241491,88.5021177
6,776,776,50,2010,West  Bengal,North 24 Parganas,North 24 Parganas,1155,0,09-09-2010 00:00,,"Outbreak  of  fever  reported  from  Swarupnagar  (middle)  sub-center  area,  near  Swarupnagar United  Club.  District RRT visited  the affected  area and investigated the outbreak.  155 blood samples sent to STM, Kolkata for lab investigation; some tested positive for Dengue and some for Chikungunya. Medical camp setup at Swarupnagar (Middle) subcentre area to treat cases. Active house to house  survey done by health  staff  for  fever  cases.  IEC  activities undertaken
regarding hygienic practices and sanitation measures.",,22.6168099,88.402895
7,685,685,45,2010,West  Bengal,North 24 Parganas,North 24 Parganas,279,0,30-10-2010 00:00,,"Outbreak reported from Srinagar-Matia, Ghorarash-Kulingram, Kholopota, under Dhanyakuria Block. BPHC medical team visited the affected area. Out of 3 blood samples sent to ICMR for lab  analysis,  2  samples  tested  positive  for  Chikungunya  and  1  sample  tested  positive  for
Dengue. Active house-to-house survey undertaken by health staff regularly and all cases treated symptomatically.","Kholopota, Dhanyakuria",22.6832639,88.811292
8,438,438,37,2010,West  Bengal,Pachim Medinipir,Pashchim Medinipur,7,0,30-08-2010 00:00,,"Cases reported from IIT campus, Kharagpur. District RRT visited and investigated the affected area. 9 serum samples sent to STM, Kolkata.  House to house survey done for fever cases.  Indoor Residual  Spray with Malathion started. Anti-larval  measures like emptying  of  water  containers  done  at  least  one  a  week.  Health  education  given
regarding mosquito control measures.","IIT campus, Kharagpur",22.3149274,87.3105311
9,473,473,38,2010,West  Bengal,Pachim Medinipur,Pashchim Medinipur,7,1,30-08-2010 00:00,,"Cases reported from IIT campus. District RRT visited and investigated the affected area. House to house survey done for fever cases. Indoor residual spray with Malathion started. Anti-larval measures like emptying of water containers done at least  one a week. Health education given
regarding mosquito control measures.", IIT campus,22.3149274,87.3105311
10,234,234,26,2011,West  Bengal,Bankura,Bankura,12,0,01-07-2011 00:00,,"Cases  reported  from  Village  /  Sub  Centre  Baragadra,  GP  Bikrampur,  Block  Sarenga.
District RRT visited the affected area and investigated the outbreak. Out of 15 sera samples of fever cases sent  to STM,  Kolkata for serological  test of Dengue & Chikunguniya,  one found positive for NS-1 Dengue test.  House to house surveillance done to find new fever cases. IEC activities undertaken regarding early treatment of cases and personal protection measures.","Baragadra,Bikrampur",22.6447915,87.0386909
11,263,263,28,2011,West  Bengal,Bankura,Bankura,12,0,01-07-2011 00:00,,"Cases  reported  from  Village-Baragadra,  GP-Bikrampur,  Block-Sarenga.  District  RRT
visited and investigated the outbreak. 6 blood samples tested positive for Dengue IgM and
1  positive  for  Chikungunya  IgM.  Fever  survey  done.  Fogging  activities  and  source
reduction measures undertaken in and around the affected village. IEC activities undertaken regarding early treatment of cases and personal protection measures.","Baragadra,  GP-Bikrampur, Sarenga",22.7623787,87.0243171
12,32,32,10,2011,West  Bengal,Birbhum,Birbhum,16,1,01-03-2011 00:00,02-03-2011 00:00,"Cases  of  fever  reported  with  joint  pain  from  Villages  Darjipara  Margram, Rampurhat-II Block.  District RRT visited the affected area and investigated the outbreak. Out of 15 sera samples of  fever cases sent to School of Tropical Medicine,  Kolkata  for  serological  testing  for  Dengue,  Chikungunya  and Japanese Encephalitis, 1 tested positive for Dengue and one for JE. House to house  surveillance  done  to  find  new  fever  cases.  IEC  activities  undertaken
regarding early treatment of cases and personal protection measures."," Darjipara  Margram, Rampurhat-II",24.1490772,87.8474389
13,542,542,40,2011,West  Bengal,Howrah,Haora,538,0,05-09-2011 00:00,,"Cases of fever with joint pain reported  from Villages Keshabpur, Khantora Paschimpara, SC Keshabpur,   Harisava,  Block Domjou  ,and Bachurgot..  District RRT investigated  the outbreak  Serum  samples  were  positive  for  Chikungunya  (3  samples)  and  Dengue  (4 samples).  Active  surveillance  done  for  new  cases.  IEC  activities  undertaken  regarding mosquito and larval control measures in the community.","Keshabpur, SC Keshabpur",22.617557,88.19174
14,615,615,43,2011,West  Bengal,Howrah,Haora,84,0,21-10-2011 00:00,24-10-2011 00:00,"Outbreak reported from Village/SC Jalashi & Kushadanga, Block Panchla.  Block RRT investigated  the outbreak.  Out  of 13  serum samples  collected,  4  samples  were  positive  for  Dengue  (Ig  M ELISA).   Anti  larval  activities  and  fogging  done in the affected area. House to house fever survey done and all cases treated. IEC activities  undertaken  regarding  mosquito  control  measures  and
personal protection measures.","Jalashi & Kushadanga, Block Panchla",22.5251915,88.1333062
15,668,668,44,2011,West  Bengal,Howrah,Haora,18,0,21-09-2011 00:00,,"Outbreak reported from G.P. Makardah-II, Block Domjur. District RRT visited the affected area and investigated the outbreak. Out of 7 blood samples collected, 3 tested positive for Dengue  and  1  for  Chikungunya.  Anti-larval  measures  and  mosquito  control  measures
undertaken.  Medical  Camp  established  to treat  cases.  IEC activities undertaken regarding early treatment of cases and personal protection measures.","Makardah-II, Block Domjur",22.620024,88.2420715
16,300,300,31,2012,West  Bengal,Nadia,Nadia,38,0,28-07-2012 00:00,,"Outbreak reported  from Village Mushlimpara,  SC  Radhanagar,  Block  Sadar, District  Nadia.  Block  Medical  team  investigated  the  outbreak.  Treatment  of patients done at local health centre. 1 patient treated at District Hospital Nadia.
7  serum  samples  collected  and  sent  to  NRSMC,  Kolkata  out  of  which  6 samples  tested  positive  for  Dengue  and  1  sample  for  Chikungunya.  Health
education given."," Mushlimpara, Radhanagar",23.6884329,86.939827
17,408,408,36,2012,West  Bengal,Nadia,Nadia,59,0,01-09-2012 00:00,,"Outbreak  reported  from   Village  Suravisthan,   SC  Uttersuravisthan,   Block Hanskhali, District Nadia. Block health team investigated the outbreak. House to  house  search  for  fever  cases  done.  Cases  treated  at  local  health  centre.  5 patients  treated  at  Bagula  RH and  District  Hospital  Nadia. 9  serum  samples collected and sent to NRSMC Kolkata out of which 4 samples tested positive
for Dengue by IgM ELISA. Health education given."," Suravisthan,   SC  Uttersuravisthan",23.305544,88.53124
18,409,409,36,2012,West  Bengal,Nadia,Nadia,16,0,13-08-2012 00:00,,"Cases reported from Village Beldangapara, Block Karimpur-I, District Nadia. Medical  team  investigated  the outbreak.  House to house survey done.  Cases treated at local health centre. 10 serum samples collected and sent to NRSMC
Kolkata  out  of  which  1sample  tested  positive  for  Dengue  by  IgM  ELISA. Health education given.","Beldangapara, Block Karimpur-I",23.9742977,88.6265475
19,410,410,36,2012,West  Bengal,Nadia,Nadia,29,0,16-08-2012 00:00,,"Outbreak reported from Village Masterpara, SC Bimpur, Block Krishnagar-I, District  Nadia.  Block  health  team investigated the outbreak.  House to house survey done. Cases treated locally. 7 patients treated at District Hospital Nadia and 2 patients treated at CRMS Kolkata. 7 serum samples collected and sent to
NRSMC Kolkata out of which 3 samples tested positive for  Dengue by IgM ELISA. IEC done.","Masterpara, SC Bimpur",23.433115,88.6319986
20,411,411,36,2012,West  Bengal,Nadia,Nadia,27,0,21-08-2012 00:00,,"Outbreak  reported  from  Village  Mira  Bazar,  Block  Kligan,  District  Nadia. Medical  team  visited  the  affected  area.  House  to  house  fever  survey  done. Cases treated at local health centre. Health education done. 5 patents treated at
District  Hospital  Nadia.  18  serum  samples  collected  and  sent  to  NRSMC Kolkata out of which 4 samples tested positive for Dengue by IgM ELISA.","Mira  Bazar,  Block  Kligan,Nadia",23.7771941,88.2810904
21,487,487,38,2012,West  Bengal,Nadia,Nadia,27,0,02-09-2012 00:00,,"Outbreak reported from Chakdaha Municipilaty (Ward no.6, 12 & 18), District Nadia. Medical team visited the affected area. House to house survey done. All cases  treated  at  local  health  centre.  6  serum  samples  collected  and  sent  to NRSMC Kolkata out of which 4 samples tested positive for  Dengue by IgM
ELISA.  Control measures taken. Health education given.","Chakdaha Municipilaty , District Nadia",23.0765247,88.5293319
22,488,488,38,2012,West  Bengal,Nadia,Nadia,26,0,15-09-2012 00:00,,"Outbreak  reported  from  Village  Bhabanipur,  SC  Fatepur,  Block  Haringhata, District Nadia. Block  health  team investigated the outbreak. Cases treated at local  health  centre.  3  patients  were  treated  at  RH  Haringahata.  3  serum samples  collected  and  sent  to  NRSMC  Kolkata  which  tested  positive  for
Dengue by IgM ELISA. Control measures undertaken. IEC activities done.","Bhabanipur,  SC  Fatepur",22.9467436,88.5857151
23,550,550,41,2012,West  Bengal,Nadia,Nadia,37,0,06-10-2012 00:00,08-10-2012 00:00,"Outbreak of fever with joint pain reported from Village Rangiarpota Elangi,  SC  Fatehpur,  Block  Chapra,  District  Nadia.  Medical  team investigated the outbreak.   Active search for fever cases done. Cases treated  at  local health  centre.  4  patients  treated  at  Referral Hospital Chapra. 4 serum samples collected which tested positive for Dengue
NS1  Ag  (RD  kit)  and  result   awaited   for   IgM  ELISA.  Control measures taken. Health education given.","Rangiarpota Elangi,  SC  Fatehpur,  Block  Chapra",23.5204252,88.5593286
24,582,582,42,2012,West  Bengal,Nadia,Nadia,31,0,10-10-2012 00:00,12-10-2012 00:00,"Outbreak  of  fever  with  headache  reported  from  Village  Tanga,  SC Swarupganj,  Block  Nabadwip,  District  Nadia.  Block  health  team investigated the outbreak. House to house survey done. Cases treated at local health centre. 8 patients treated at Sub District Hospital Sadar. 11 serum samples collected out of which 4 samples were positive for
Dengue (IgM ELISA). Control measures undertaken. IEC done.","Tanga,  SC Swarupganj,  Block  Nabadwip",23.4036694,88.3658569
25,642,642,43,2012,West  Bengal,Nadia,Nadia,25,0,02-09-2012 00:00,,"Outbreak   reported   from   Village   Ghosh   Para,   SC   Kastoganga,   Block Haringhata,  District  Nadia.  Block  health  team  investigated  the  outbreak. House to house search  for  cases done. Cases treated at local health  centre. 6 patients were treated at RH Haringahata. Out of 13 serum samples collected 5
samples   were   positive   for    Dengue   (IgM   ELISA).   Control   measures undertaken. IEC activities undertaken.","Ghosh   Para,   SC   Kastoganga,   Block Haringhata",22.9605105,88.5674032
26,643,643,43,2012,West  Bengal,Nadia,Nadia,49,0,08-10-2012 00:00,,"Outbreak   reported   from   Villages   Basantapur,   Panpur   &   Dharali,   SC Mollabelia, Block  Haringhata, District Nadia. Block health team investigated the outbreak. Active search for fever cases done. Cases treated at local health centre.  2  patients  were  treated  at  RH  Haringhata.  Out  of  31  serum  samples collected 9 samples were positive for Dengue (IgM ELISA). Control measures
undertaken. IEC done."," Basantapur,  SC Mollabelia, Block  Haringhata",22.9639139,88.576327
27,731,731,47,2012,West  Bengal,Nadia,Nadia,10,0,28-10-2012 00:00,,"Cases  of  fever  with  headache  reported  from  Village  Kanainagar,  SC  Majdia Pansila, Block Nabadwip, District Nadia. Block health team visited the affected area.   Cases   treated   at   local   health   centre.   1   patient   treated   at   NRSMC Kolkata. Out of 10 serum samples collected, 4 samples were positive for Dengue
(IgM ELISA)."," Kanainagar,  SC  Majdia Pansila, Block Nabadwip",23.8540045,88.4815582
